"","Species","Countries","Hosts","Isolates"
"242","Pseudofusicoccum adansoniae",4,7,13
"243","Pseudofusicoccum ardesiacum",1,1,1
"244","Pseudofusicoccum artocarpi",1,1,1
"245","Pseudofusicoccum kimberleyense",4,5,7
"246","Pseudofusicoccum olivaceum",1,2,3
"247","Pseudofusicoccum sp.",3,3,3
"248","Pseudofusicoccum stromaticum",3,4,6
"249","Pseudofusicoccum violaceum",3,5,13
"250","Sardiniella celtidis",4,2,4
"251","Sardiniella elliptica",2,1,6
"252","Sardiniella guizhouensis",2,1,8
"253","Sardiniella sp.",1,1,2
"254","Sardiniella urbana",2,2,7
"255","Sphaeropsis chromolaenicola",1,1,2
"256","Sphaeropsis citrigena",4,2,5
"257","Sphaeropsis eucalypticola",1,3,5
"258","Sphaeropsis guizhouensis",2,1,4
"259","Sphaeropsis porosa",2,3,3
"260","Sphaeropsis visci",19,8,157
